"from_stop_id","to_stop_id","from_trip_id","to_trip_id","transfer_type","min_transfer_time"
"27","27","GO103_25_188","GO103_25_84","1",""
"102","102","GO103_25_102","GO103_25_502","1",""
"102","102","GO103_25_702","GO103_25_502","1",""
"102","102","GO103_25_220","GO103_25_508","1",""
"102","102","GO103_25_1912","GO103_25_508","1",""
"102","102","GO103_25_814","GO103_25_510","1",""
"102","102","GO103_25_2014","GO103_25_510","1",""
"102","102","GO103_25_130","GO103_25_512","1",""
"102","102","GO103_25_1614","GO103_25_512","1",""
"102","102","GO103_25_722","GO103_25_516","1",""
"102","102","GO103_25_722_1","GO103_25_516","1",""
"102","102","GO103_25_1522","GO103_25_516","1",""
"102","102","GO103_25_724","GO103_25_550","1",""
"102","102","GO103_25_724_1","GO103_25_550","1",""
"102","102","GO103_25_1526","GO103_25_550","1",""
"102","102","GO103_25_750","GO103_25_552","1",""
"102","102","GO103_25_750_1","GO103_25_552","1",""
"102","102","GO103_25_1552","GO103_25_552","1",""
"102","102","GO103_25_162","GO103_25_556","1",""
"102","102","GO103_25_1754","GO103_25_556","1",""
"102","102","GO103_25_860","GO103_25_558","1",""
"102","102","GO103_25_1150","GO103_25_558","1",""
"102","102","GO103_25_170","GO103_25_560","1",""
"102","102","GO103_25_2064","GO103_25_560","1",""
"102","102","GO103_25_268","GO103_25_562","1",""
"102","102","GO103_25_1060","GO103_25_562","1",""
"102","102","GO103_25_272","GO103_25_566","1",""
"102","102","GO103_25_876","GO103_25_568","1",""
"102","102","GO103_25_1572","GO103_25_568","1",""
"102","102","GO103_25_882","GO103_25_570","1",""
"102","102","GO103_25_1670","GO103_25_570","1",""
"102","102","GO103_25_784","GO103_25_574","1",""
"102","102","GO103_25_1586","GO103_25_574","1",""
"102","102","GO103_25_1590","GO103_25_576","1",""
"102","102","GO103_25_2788","GO103_25_576","1",""
"102","102","GO103_25_292","GO103_25_578","1",""
"102","102","GO103_25_1990","GO103_25_578","1",""
"91","91","GO103_25_1594","GO103_25_600","1",""
"102","102","GO103_25_102","GO103_25_604","1",""
"102","102","GO103_25_2702","GO103_25_604","1",""
"91","91","GO103_25_1608","GO103_25_606","1",""
"91","91","GO103_25_607","GO103_25_1509","1",""
"102","102","GO103_25_1914","GO103_25_608","1",""
"102","102","GO103_25_2716","GO103_25_608","1",""
"91","91","GO103_25_1514","GO103_25_610","1",""
"92","92","GO103_25_1918","GO103_25_614","1",""
"91","91","GO103_25_623","GO103_25_1523","1",""
"92","92","GO103_25_625","GO103_25_1527","1",""
"91","91","GO103_25_629","GO103_25_1535","1",""
"91","91","GO103_25_1524","GO103_25_650","1",""
"91","91","GO103_25_1524_1","GO103_25_650","1",""
"91","91","GO103_25_1552","GO103_25_652","1",""
"91","91","GO103_25_653","GO103_25_1555","1",""
"91","91","GO103_25_1558","GO103_25_654","1",""
"91","91","GO103_25_655","GO103_25_1655","1",""
"102","102","GO103_25_858","GO103_25_656","1",""
"102","102","GO103_25_2758","GO103_25_656","1",""
"102","102","GO103_25_1252","GO103_25_658","1",""
"102","102","GO103_25_1968","GO103_25_658","1",""
"102","102","GO103_25_760","GO103_25_660","1",""
"91","91","GO103_25_661","GO103_25_1575","1",""
"102","102","GO103_25_1660","GO103_25_662","1",""
"102","102","GO103_25_1972","GO103_25_662","1",""
"91","91","GO103_25_663","GO103_25_1581","1",""
"102","102","GO103_25_866","GO103_25_664","1",""
"91","91","GO103_25_665","GO103_25_1587","1",""
"91","91","GO103_25_665","GO103_25_1587_1","1",""
"91","91","GO103_25_667","GO103_25_1501","1",""
"91","91","GO103_25_667","GO103_25_1501_2","1",""
"102","102","GO103_25_1178","GO103_25_668","1",""
"102","102","GO103_25_2774","GO103_25_668","1",""
"91","91","GO103_25_1668","GO103_25_670","1",""
"91","91","GO103_25_1580","GO103_25_672","1",""
"102","102","GO103_25_288","GO103_25_674","1",""
"102","102","GO103_25_1584","GO103_25_674","1",""
"91","91","GO103_25_1588","GO103_25_676","1",""
"102","102","GO103_25_270","GO103_25_698","1",""
"102","102","GO103_25_1568","GO103_25_698","1",""
"179","179","GO103_25_903","GO103_25_1919","1",""
"179","179","GO103_25_2010","GO103_25_904","1",""
"179","179","GO103_25_905","GO103_25_1933","1",""
"179","179","GO103_25_1922","GO103_25_906","1",""
"179","179","GO103_25_951","GO103_25_1961","1",""
"179","179","GO103_25_1960","GO103_25_952","1",""
"179","179","GO103_25_953","GO103_25_2063","1",""
"179","179","GO103_25_2068","GO103_25_956","1",""
"179","179","GO103_25_957","GO103_25_1987","1",""
"102","102","GO103_25_6202","GO103_25_6002","1",""
"102","102","GO103_25_7900","GO103_25_6002","1",""
"102","102","GO103_25_6112","GO103_25_6006","1",""
"102","102","GO103_25_8710","GO103_25_6006","1",""
"102","102","GO103_25_7916","GO103_25_6008","1",""
"102","102","GO103_25_8712","GO103_25_6008","1",""
"102","102","GO103_25_7524","GO103_25_6010","1",""
"102","102","GO103_25_7716","GO103_25_6010","1",""
"102","102","GO103_25_7932","GO103_25_6012","1",""
"102","102","GO103_25_8720","GO103_25_6012","1",""
"102","102","GO103_25_6188","GO103_25_6014","1",""
"102","102","GO103_25_6270","GO103_25_6014","1",""
"27","27","GO103_25_6031","GO103_25_6113","1",""
"27","27","GO103_25_6033","GO103_25_6117","1",""
"27","27","GO103_25_6114","GO103_25_6034","1",""
"27","27","GO103_25_6035","GO103_25_6133","1",""
"102","102","GO103_25_6216","GO103_25_6036","1",""
"102","102","GO103_25_7922","GO103_25_6036","1",""
"27","27","GO103_25_6037","GO103_25_6155","1",""
"102","102","GO103_25_6254","GO103_25_6038","1",""
"102","102","GO103_25_7960","GO103_25_6038","1",""
"102","102","GO103_25_7580","GO103_25_6040","1",""
"102","102","GO103_25_8764","GO103_25_6040","1",""
"27","27","GO103_25_6041","GO103_25_6163","1",""
"27","27","GO103_25_6192","GO103_25_6042","1",""
"102","102","GO103_25_6274","GO103_25_6044","1",""
"102","102","GO103_25_6878","GO103_25_6044","1",""
"102","102","GO103_25_6120","GO103_25_6052","1",""
"102","102","GO103_25_8714","GO103_25_6052","1",""
"27","27","GO103_25_6126","GO103_25_6054","1",""
"27","27","GO103_25_6055","GO103_25_6151","1",""
"27","27","GO103_25_6130","GO103_25_6056","1",""
"27","27","GO103_25_6150","GO103_25_6058","1",""
"27","27","GO103_25_6059","GO103_25_6167","1",""
"27","27","GO103_25_6154","GO103_25_6060","1",""
"27","27","GO103_25_6061","GO103_25_6171","1",""
"27","27","GO103_25_6162","GO103_25_6062","1",""
"27","27","GO103_25_6168","GO103_25_6064","1",""
"27","27","GO103_25_6065","GO103_25_6183","1",""
"102","102","GO103_25_6262","GO103_25_6066","1",""
"102","102","GO103_25_7972","GO103_25_6066","1",""
"27","27","GO103_25_6176","GO103_25_6068","1",""
"27","27","GO103_25_6184","GO103_25_6070","1",""
"27","27","GO103_25_6071","GO103_25_6195","1",""
"102","102","GO103_25_6702","GO103_25_6502","1",""
"102","102","GO103_25_6802","GO103_25_6502","1",""
"102","102","GO103_25_6214","GO103_25_6508","1",""
"102","102","GO103_25_7918","GO103_25_6508","1",""
"102","102","GO103_25_6218","GO103_25_6512","1",""
"102","102","GO103_25_7926","GO103_25_6512","1",""
"102","102","GO103_25_6250","GO103_25_6550","1",""
"102","102","GO103_25_7950","GO103_25_6550","1",""
"102","102","GO103_25_6254","GO103_25_6554","1",""
"102","102","GO103_25_7960","GO103_25_6554","1",""
"102","102","GO103_25_6260","GO103_25_6558","1",""
"102","102","GO103_25_7968","GO103_25_6558","1",""
"102","102","GO103_25_6264","GO103_25_6564","1",""
"102","102","GO103_25_7976","GO103_25_6564","1",""
"102","102","GO103_25_6268","GO103_25_6570","1",""
"102","102","GO103_25_7984","GO103_25_6570","1",""
"102","102","GO103_25_6274","GO103_25_6574","1",""
"102","102","GO103_25_7996","GO103_25_6574","1",""
"91","91","GO103_25_7596","GO103_25_6600","1",""
"102","102","GO103_25_6102","GO103_25_6602","1",""
"102","102","GO103_25_8702","GO103_25_6602","1",""
"91","91","GO103_25_7506","GO103_25_6604","1",""
"91","91","GO103_25_6607","GO103_25_7511","1",""
"91","91","GO103_25_6609","GO103_25_7517","1",""
"91","91","GO103_25_7512","GO103_25_6610","1",""
"91","91","GO103_25_6611","GO103_25_7521","1",""
"91","91","GO103_25_7518","GO103_25_6612","1",""
"91","91","GO103_25_6613","GO103_25_7527","1",""
"91","91","GO103_25_7524","GO103_25_6614","1",""
"91","91","GO103_25_6615","GO103_25_7551","1",""
"91","91","GO103_25_7530","GO103_25_6650","1",""
"91","91","GO103_25_7554","GO103_25_6652","1",""
"91","91","GO103_25_6653","GO103_25_7557","1",""
"91","91","GO103_25_7560","GO103_25_6654","1",""
"91","91","GO103_25_6655","GO103_25_7563","1",""
"91","91","GO103_25_7566","GO103_25_6656","1",""
"91","91","GO103_25_6657","GO103_25_7569","1",""
"91","91","GO103_25_6659","GO103_25_7575","1",""
"91","91","GO103_25_7572","GO103_25_6660","1",""
"91","91","GO103_25_6661","GO103_25_7581","1",""
"91","91","GO103_25_7578","GO103_25_6662","1",""
"91","91","GO103_25_6663","GO103_25_7587","1",""
"91","91","GO103_25_7584","GO103_25_6664","1",""
"91","91","GO103_25_6665","GO103_25_7593","1",""
"91","91","GO103_25_7592","GO103_25_6666","1",""
"91","91","GO103_25_6667","GO103_25_7501","1",""
"179","179","GO103_25_7904","GO103_25_6902","1",""
"179","179","GO103_25_6903","GO103_25_7923","1",""
"179","179","GO103_25_7916","GO103_25_6904","1",""
"179","179","GO103_25_6905","GO103_25_7957","1",""
"179","179","GO103_25_7952","GO103_25_6950","1",""
"179","179","GO103_25_6951","GO103_25_7977","1",""
"179","179","GO103_25_7972","GO103_25_6952","1",""
"179","179","GO103_25_6955","GO103_25_7993","1",""
"179","179","GO103_25_2010","GO103_25_10904","1",""
"179","179","GO103_25_10905","GO103_25_1935","1",""
"179","179","GO103_25_1922","GO103_25_10906","1",""
"179","179","GO103_25_10951","GO103_25_2057","1",""
"179","179","GO103_25_1960","GO103_25_10952","1",""
"179","179","GO103_25_10953","GO103_25_1971","1",""
