"trip_id","arrival_time","departure_time","stop_id","stop_sequence","pickup_type","drop_off_type"
"GO103_25_6701","00:28:00","00:28:00","195","5","0","0"
"GO103_25_6701","00:31:00","00:31:00","63","6","0","0"
"GO103_25_6701","00:33:00","00:33:00","23","7","0","0"
"GO103_25_6701","00:35:00","00:35:00","359","8","0","0"
"GO103_25_6701","00:38:00","00:38:00","175","9","0","0"
"GO103_25_6701","00:41:00","00:41:00","89","10","0","0"
"GO103_25_6701","00:43:00","00:43:00","86","11","1","1"
"GO103_25_6701","00:47:00","00:49:00","102","12","0","0"
"GO103_25_6701","00:53:00","00:53:00","107","13","0","0"
"GO103_25_6701","00:55:00","00:55:00","55","14","0","0"
"GO103_25_6701","01:08:00","01:08:00","349","15","0","0"
"GO103_25_6702","00:52:00","00:52:00","349","1","0","0"
"GO103_25_6702","01:04:00","01:04:00","214","2","0","0"
"GO103_25_6702","01:13:00","01:15:00","102","3","0","0"
"GO103_25_6702","01:20:00","01:20:00","86","4","1","1"
"GO103_25_6702","01:22:00","01:22:00","89","5","0","0"
"GO103_25_6702","01:25:00","01:25:00","175","6","0","0"
"GO103_25_6702","01:27:00","01:27:00","359","7","0","0"
"GO103_25_6702","01:29:00","01:29:00","23","8","0","0"
"GO103_25_6702","01:31:00","01:31:00","63","9","0","0"
"GO103_25_6702","01:34:00","01:34:00","195","10","0","0"
"GO103_25_6702","01:37:00","01:37:00","149","11","0","0"
"GO103_25_6702","01:40:00","01:40:00","68","12","0","0"
"GO103_25_6702","01:43:00","01:43:00","36","13","0","0"
"GO103_25_6702","01:47:00","01:47:00","84","14","0","0"
"GO103_25_6703","01:03:00","01:03:00","84","1","0","0"
"GO103_25_6703","01:07:00","01:07:00","36","2","0","0"
"GO103_25_6703","01:10:00","01:10:00","68","3","0","0"
"GO103_25_6703","01:12:00","01:12:00","149","4","0","0"
"GO103_25_6703","01:15:00","01:15:00","195","5","0","0"
"GO103_25_6703","01:18:00","01:18:00","63","6","0","0"
"GO103_25_6703","01:20:00","01:20:00","23","7","0","0"
"GO103_25_6703","01:22:00","01:22:00","359","8","0","0"
"GO103_25_6703","01:25:00","01:25:00","175","9","0","0"
"GO103_25_6703","01:28:00","01:28:00","89","10","0","0"
"GO103_25_6703","01:30:00","01:30:00","86","11","1","1"
