from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246109524611753+1846660+1,246109524611753+1846381+1,1,
33,33,,,246103224610331+1846663+1,246103224610431+1846382+1,1,
33,33,,,246104624610562+1846671+1,246104624610562+1846389+1,1,
33,33,,,246106124610634+1846671+1,246106124610634+1846389+1,1,
33,33,,,246109524611753+1846671+1,246109524611753+1846389+1,1,
33,33,,,246101524610295+1846672+1,246101524610295+1846390+1,1,
33,33,,,246103424610343+1846673+1,246103424610363+1846390+1,1,
33,33,,,246101124610281+1846676+1,246101124610281+1846415+1,1,
33,33,,,246104624610561+1846676+1,246104624610561+1846415+1,1,
33,33,,,246104624610563+1846676+1,246104624610563+1846415+1,1,
33,33,,,246109524611753+1846676+1,246109524611753+1846415+1,1,
33,33,,,246100624610063+1846678+1,246100624610063+1846417+1,1,
33,33,,,246103224610331+1846679+1,246103224610411+1846417+1,1,
33,33,,,246103924610413+1846679+1,246103224610413+1846417+1,1,
33,33,,,246101124610281+1846701+1,246101124610281+1846429+1,1,
33,33,,,246106724610842+1846701+1,246106724610842+1846429+1,1,
33,33,,,246108924610913+1846701+1,246108924610913+1846429+1,1,
33,33,,,246109524611751+1846701+1,246109524611751+1846429+1,1,
33,33,,,246099724610004+1846710+1,246099724610004+1846436+1,1,
33,33,,,246104624610562+1846710+1,246104624610562+1846436+1,1,
33,33,,,246106724610843+1846710+1,246106724610843+1846436+1,1,
33,33,,,246109524611753+1846710+1,246109524611753+1846436+1,1,
33,33,,,246100424610051+1846713+1,246100424610051+1846436+1,1,
33,33,,,246104624610561+1846713+1,246104624610561+1846436+1,1,
33,33,,,246106724610843+1846713+1,246106724610843+1846436+1,1,
33,33,,,246106724610844+1846713+1,246106724610844+1846436+1,1,
33,33,,,246099224609933+1846717+1,246099224609933+1846440+1,1,
33,33,,,246100424610052+1846717+1,246100424610052+1846440+1,1,
33,33,,,246101124610281+1846717+1,246101124610281+1846440+1,1,
33,33,,,246106124610634+1846717+1,246106124610634+1846440+1,1,
33,33,,,246109524611752+1846717+1,246109524611752+1846440+1,1,
33,33,,,246109524611754+1846717+1,246109524611754+1846440+1,1,
33,33,,,246099724610004+1846723+1,246099724610004+1846456+1,1,
33,33,,,246106124610632+1846723+1,246106124610632+1846456+1,1,
33,33,,,246106724610841+1846723+1,246106724610841+1846456+1,1,
33,33,,,246106724610842+1846723+1,246106724610842+1846456+1,1,
33,33,,,246109524611752+1846723+1,246109524611752+1846456+1,1,
33,33,,,246101524611765+1846724+1,246103924610435+1846457+1,1,
33,33,,,246101524611765+1846724+1,246105024611765+1846457+1,1,
33,33,,,246099224609934+1846729+1,246099224609934+1846462+1,1,
33,33,,,246100424610052+1846729+1,246100424610052+1846462+1,1,
33,33,,,246101124610281+1846729+1,246101124610281+1846462+1,1,
33,33,,,246104624610561+1846729+1,246104624610561+1846462+1,1,
33,33,,,246106724610841+1846729+1,246106724610841+1846462+1,1,
33,33,,,246106724610843+1846729+1,246106724610843+1846462+1,1,
33,33,,,246101524611765+1846730+1,246103624610435+1846465+1,1,
33,33,,,246103224610413+1846731+1,246103224610413+1846464+1,1,
33,33,,,246099224609933+1846735+0,246099224609933+1844526+0,1,
33,33,,,246099224609934+1846735+0,246099224609934+1844526+0,1,
33,33,,,246108924610912+1846735+0,246108924610912+1844526+0,1,
33,33,,,246103224610342+1846737+0,246103224610362+1844527+0,1,
33,33,,,246108924610912+1846738+0,246108924610912+1846474+0,1,
33,33,,,246109524611754+1846738+0,246109524611754+1846474+0,1,
33,33,,,246099424610015+1846739+0,246099424610015+1846475+0,1,
33,33,,,246099724610001+1846748+0,246099724610001+1846486+0,1,
33,33,,,246106124610632+1846748+0,246106124610632+1846486+0,1,
33,33,,,246106124610634+1846748+0,246106124610634+1846486+0,1,
33,33,,,246106724610842+1846748+0,246106724610842+1846486+0,1,
33,33,,,246109524611754+1846748+0,246109524611754+1846486+0,1,
33,33,,,246100624610063+1846750+0,246100624610063+1846488+0,1,
33,33,,,246103224610411+1846750+0,246103924610411+1846489+0,1,
33,33,,,246099224609934+1846757+0,246099224609934+1846494+0,1,
33,33,,,246099724610002+1846757+0,246099724610002+1846494+0,1,
33,33,,,246106724610843+1846757+0,246106724610843+1846494+0,1,
33,33,,,246108924610914+1846757+0,246108924610914+1846494+0,1,
33,33,,,246104624610562+1846767+0,246104624610562+1846505+0,1,
33,33,,,246104624610563+1846767+0,246104624610563+1846505+0,1,
33,33,,,246109524611751+1846767+0,246109524611751+1846505+0,1,
33,33,,,246099224609933+1846770+0,246099224609933+1846513+0,1,
33,33,,,246101124610282+1846770+0,246101124610282+1846513+0,1,
33,33,,,246106724610844+1846770+0,246106724610844+1846513+0,1,
33,33,,,246108924610914+1846770+0,246108924610914+1846513+0,1,
33,33,,,246103224610412+1846772+0,246103924610412+1846516+0,1,
33,33,,,246099224609934+1846778+0,246099224609934+1846525+0,1,
33,33,,,246099724610001+1846778+0,246099724610001+1846525+0,1,
33,33,,,246106724610842+1846778+0,246106724610842+1846525+0,1,
33,33,,,246108924610914+1846778+0,246108924610914+1846525+0,1,
33,33,,,246109524611751+1846778+0,246109524611751+1846525+0,1,
33,33,,,246109524611752+1846778+0,246109524611752+1846525+0,1,
33,33,,,246103224610412+1846780+0,246103924610412+1846528+0,1,
33,33,,,246099724610003+1846785+0,246099724610003+1846540+0,1,
33,33,,,246100424610051+1846785+0,246100424610051+1846540+0,1,
33,33,,,246106124610633+1846785+0,246106124610633+1846540+0,1,
33,33,,,246109524611752+1846785+0,246109524611752+1846540+0,1,
33,33,,,246099224609933+1846923+0,246099224609933+1846552+0,1,
33,33,,,246099724610004+1846923+0,246099724610004+1846552+0,1,
33,33,,,246109524611753+1846923+0,246109524611753+1846552+0,1,
33,33,,,246103424610343+1846925+0,246103224610413+1846554+0,1,
33,33,,,246099724610001+1847000+0,246099724610001+1846559+0,1,
33,33,,,246104624610561+1847000+0,246104624610561+1846559+0,1,
33,33,,,246106724610842+1847000+0,246106724610842+1846559+0,1,
33,33,,,246109524611751+1847000+0,246109524611751+1846559+0,1,
33,33,,,246103224610413+1847003+0,246103224610413+1846561+0,1,
33,33,,,246099224609934+1847055+0,246099224609934+1846566+0,1,
33,33,,,246099724610001+1847055+0,246099724610001+1846566+0,1,
33,33,,,246099724610003+1847055+0,246099724610003+1846566+0,1,
33,33,,,246103224610413+1847057+0,246103224610343+1846566+0,1,
33,33,,,246103224610412+1847057+0,246103924610402+1846566+0,1,
33,33,,,246099724610003+1847071+0,246099724610003+1846569+0,1,
33,33,,,246101124610284+1847071+0,246101124610284+1846569+0,1,
33,33,,,246106124610632+1847071+0,246106124610632+1846569+0,1,
